;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
145;563;004905;PAGTO DEBITO EM C/C - CHAFIC MENDONCA ABDEL MELEK  - DEB C/C- 152605-1;633,00;;
146;564;004905;PAGTO DEBITO EM C/C - D&W SERVICÇOS RADIOLOGICOS L - DEB C/C- 153883-1;17300,00;;
147;565;004905;PAGTO DEBITO EM C/C - ROCHA SERVIÇOS MEDICOS E CIR - DEB C/C- 154094-1;609,39;;
148;566;004905;PAGTO DEBITO EM C/C - BARBARA CHIESSE ENDOCRINOLOG - DEB C/C- 154108-1;1677,96;;
149;567;004905;PAGTO DEBITO EM C/C - PRONTO CLINICA BARRA MANSA L - DEB C/C- 154111-1;380,69;;
150;568;004905;PAGTO DEBITO EM C/C - CICOR SERVICOS MEDICOS LTDA  - DEB C/C- 154119-1;2804,22;;
151;569;004905;PAGTO DEBITO EM C/C - CAMARGO DE JESUS SERVICOS ME - DEB C/C- 154126-1;814,78;;
152;570;004905;PAGTO DEBITO EM C/C - DR FERNANDO MOREIRA DORNELLA - DEB C/C- 154134-1;3552,70;;
153;571;004905;PAGTO DEBITO EM C/C - FRANCO E NETO BP SERVICOS OD - DEB C/C- 154136-1;3999,05;;
154;572;004905;PAGTO DEBITO EM C/C - FILIPE SOUZA DE LIMA E CIRNE - DEB C/C- 154138-1;5984,56;;
155;573;004905;PAGTO DEBITO EM C/C - ALONSO E E CARVALHO SERVICOS - DEB C/C- 154141-1;2316,93;;
156;574;004905;PAGTO DEBITO EM C/C - LIEGE VIDAL ASSISTENCIA MEDI - DEB C/C- 154148-1;3981,11;;
157;561;004905;PAGTO DEBITO EM C/C - CORPO DE BOMBEIROS MILITAR D - DEB C/C- 149997-3;196,44;;
158;575;004905;PAGTO DEBITO EM C/C - SCOPACLIN SERVICOS MEDICOS L - DEB C/C- 154155-1;3994,22;;
159;545;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19111;17,59;;
160;543;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18590;935,36;;
161;515;004905;PAGTO DEBITO EM C/C - SEO SERVICO ESPECIALIZADO EM - DEB C/C- 153970-1;1119,38;;
162;516;004905;PAGTO DEBITO EM C/C - F A FERREIRA MEDICINA 47 - DEB C/C- 153975-1;729,50;;
163;517;004905;PAGTO DEBITO EM C/C - CABRAL COELHO SERVICOS MEDIC - DEB C/C- 153977-1;6633,11;;
